解算X	解算Y	原始X	原始Y	误差X	误差Y
1419.8	1772.19	1418.9	1772.39	-0.902433	0.197234
1552.61	1773.16	1551.02	1772.65	-1.58889	-0.516281
1684.73	1773.77	1682.5	1772.5	-2.23283	-1.27129
249.998	1553	251.75	1553.25	1.75238	0.2462
368.32	1553.33	368.769	1553.92	0.449199	0.589099
486.377	1553.86	486.625	1554.63	0.247609	0.764729
722.488	1554.74	721.625	1556.5	-0.863439	1.75565
840.187	1555.24	839.25	1557	-0.936948	1.7634
1192.11	1556.24	1192.63	1558	0.518102	1.7646
1309.07	1556.49	1309.88	1557.63	0.807291	1.13394
1425.83	1557.04	1426.5	1558	0.665198	0.957994
1542.35	1557.27	1542.25	1557.88	-0.102164	0.600883
248.889	1258.33	250.375	1258.88	1.48568	0.544047
367.467	1258.95	367.625	1259.88	0.15817	0.926735
485.931	1259.49	485.75	1259.75	-0.180835	0.259026
604.139	1259.82	603.5	1260.38	-0.639226	0.553511
722.22	1260.36	721.5	1260.88	-0.72031	0.512378
840.082	1260.69	839.75	1260.75	-0.332049	0.0579795
958.073	1261.31	958	1261.38	-0.0733291	0.0683818
1075.6	1262.56	1076.88	1262.75	1.27243	0.18912
1192.98	1262.6	1194.5	1262.88	1.5195	0.270811
1310.26	1263.36	1312.13	1263.75	1.86633	0.387633
1544.32	1265.01	1545.13	1265	0.804065	-0.0120536
248.642	965.693	250.625	966.5	1.98328	0.807238
367.602	967.066	368.25	967.25	0.648378	0.18446
486.614	968.869	486.75	967.75	0.135903	-1.11866
605.364	969.265	604.875	968.875	-0.488938	-0.389726
723.906	970.043	723.125	969.25	-0.781056	-0.793096
842.357	970.693	842.25	969.5	-0.107204	-1.19313
960.762	971.496	961.062	969.742	0.30021	-1.7542
1078.69	972.139	1078.88	970.625	0.182744	-1.51415
1196.38	972.503	1196.88	970.625	0.497095	-1.8775
1314.21	972.819	1314.75	971.75	0.537919	-1.06869
1431.43	973.218	1432.75	972.25	1.32222	-0.967598
1548.45	973.641	1548.63	972.886	0.181423	-0.755331
249.609	665.857	252.25	668	2.64116	2.14292
368.965	666.731	370.487	668.171	1.52219	1.44007
488.34	667.726	489.089	668.735	0.748988	1.00909
726.622	669.923	726.75	668.875	0.127525	-1.04826
845.471	671.035	845.25	670.5	-0.221142	-0.534837
964.167	671.904	964.875	671.375	0.707596	-0.529285
1082.51	672.887	1083.08	671.404	0.562407	-1.48292
1201.02	673.72	1200.88	672.875	-0.146841	-0.844851
1319.29	674.646	1318.88	673.75	-0.413705	-0.895564
1436.87	675.201	1436.38	675	-0.498948	-0.200856
1554.74	676.64	1553.33	677.156	-1.40971	0.516074
365.435	365.286	368.11	369.574	2.67525	4.28778
485.187	366.063	486.625	370.125	1.43845	4.06219
604.651	367.257	605.5	370.25	0.848659	2.99341
724.132	368.224	724.424	371.038	0.291796	2.8143
843.379	369.49	843.026	371.793	-0.352556	2.3026
962.431	370.76	961.885	372.935	-0.546157	2.17543
1081.3	372.148	1080.63	374.5	-0.673131	2.35206
1199.75	373.455	1198.75	375.25	-1.00277	1.79497
1318.31	374.691	1316.75	376.625	-1.56038	1.93431
1436.32	376.011	1434.38	379.25	-1.94183	3.23879
